Produto B,Descrição do Produto B,34,82.83
Produto C,Descrição do Produto C,133,51.98
Produto D,Descrição do Produto D,50,36.62
Produto E,Descrição do Produto E,123,96.46
Produto F,Descrição do Produto F,89,56.43
Produto G,Descrição do Produto G,141,33.93
Produto H,Descrição do Produto H,113,68.13
Produto I,Descrição do Produto I,162,58.21
Produto J,Descrição do Produto J,171,28.89
Produto K,Descrição do Produto K,104,57.08
Produto L,Descrição do Produto L,104,54.94
Produto M,Descrição do Produto M,49,45.43
Produto N,Descrição do Produto N,89,89.3
Produto O,Descrição do Produto O,111,65.4
Produto P,Descrição do Produto P,74,72.93
Produto Q,Descrição do Produto Q,73,93.09
Produto R,Descrição do Produto R,178,58.45
Produto S,Descrição do Produto S,156,35.58
Produto T,Descrição do Produto T,158,5.35
Produto U,Descrição do Produto U,72,48.08
Produto V,Descrição do Produto V,114,44.23
Produto W,Descrição do Produto W,185,24.49
Produto X,Descrição do Produto X,31,80.15
Produto Y,Descrição do Produto Y,199,89.49
Produto Z,Descrição do Produto Z,80,31.07
Produto A,Descrição do Produto A,37,36.68
Produto B,Descrição do Produto B,121,42.45
Produto C,Descrição do Produto C,13,79.76
Produto D,Descrição do Produto D,101,15.04
Produto E,Descrição do Produto E,197,52.87
Produto F,Descrição do Produto F,25,47.93
Produto G,Descrição do Produto G,155,11.59
Produto H,Descrição do Produto H,53,58.82
Produto I,Descrição do Produto I,198,79.84
Produto J,Descrição do Produto J,187,68.06
Produto K,Descrição do Produto K,57,6.34
Produto L,Descrição do Produto L,111,52.17
Produto M,Descrição do Produto M,10,36.62
Produto N,Descrição do Produto N,165,51.35
Produto O,Descrição do Produto O,180,59.12
Produto P,Descrição do Produto P,124,60.31
Produto Q,Descrição do Produto Q,170,35.15
Produto R,Descrição do Produto R,24,14.13
Produto S,Descrição do Produto S,14,67.43
Produto T,Descrição do Produto T,120,79.5
Produto U,Descrição do Produto U,196,40.63
Produto V,Descrição do Produto V,116,98.07
Produto W,Descrição do Produto W,40,87.74
Produto X,Descrição do Produto X,155,7.68
Produto Y,Descrição do Produto Y,139,96.4
Produto Z,Descrição do Produto Z,181,7.79
Produto A,Descrição do Produto A,175,87.34
Produto B,Descrição do Produto B,199,64.86
Produto C,Descrição do Produto C,188,33.1
Produto D,Descrição do Produto D,179,39.9
Produto E,Descrição do Produto E,115,13.2
Produto F,Descrição do Produto F,138,59.76
Produto G,Descrição do Produto G,123,33.6
Produto H,Descrição do Produto H,100,12.33
Produto I,Descrição do Produto I,67,23.22
Produto J,Descrição do Produto J,133,58.41
Produto K,Descrição do Produto K,108,21.48
Produto L,Descrição do Produto L,150,18.83
Produto M,Descrição do Produto M,134,35.6
Produto N,Descrição do Produto N,103,57.12
Produto O,Descrição do Produto O,155,40.92
Produto P,Descrição do Produto P,168,39.29
Produto Q,Descrição do Produto Q,133,33.41
Produto R,Descrição do Produto R,180,30.39
Produto S,Descrição do Produto S,147,40.85
Produto T,Descrição do Produto T,190,5.62
Produto U,Descrição do Produto U,104,59.29
Produto V,Descrição do Produto V,13,77.8
Produto W,Descrição do Produto W,178,51.53
Produto X,Descrição do Produto X,134,69.87
Produto Y,Descrição do Produto Y,11,72.65
Produto Z,Descrição do Produto Z,65,78.27
Produto A,Descrição do Produto A,21,53.07
